Distributor_code,Store_code,Partner_code,par_status,Updated_timestamp,Service_days
1000,49,F-311,ACTIVE,17-08-2020,W
1000,49,F-P13,INACTIVE,29-04-2020,
1000,49,P1164,INACTIVE,27-04-2020,
1000,49,P-P60,ACTIVE,12-08-2020,
1000,49,P-P64,INACTIVE,29-04-2020,
1000,49,U-P39,ACTIVE,11-08-2020,
1000,49,U-P61,ACTIVE,12-08-2020,
1000,50,D-P27,ACTIVE,20-08-2020,W
1000,50,D-P86,ACTIVE,12-08-2020,
1000,50,P-132,INACTIVE,27-04-2020,
1000,50,P-P16,ACTIVE,12-08-2020,
1000,50,P-P54,ACTIVE,17-08-2020,"Th, F"
1000,50,P-P60,ACTIVE,11-08-2020,
1000,50,P-P61,INACTIVE,20-07-2018,
1000,51,D-P17,INACTIVE,27-04-2020,
1000,51,P2403,INACTIVE,26-06-2019,
1000,51,P5897,INACTIVE,20-08-2020,
1000,51,P-P41,ACTIVE,12-08-2020,
1000,51,P-P55,ACTIVE,12-08-2020,
1000,51,P-P73,ACTIVE,17-08-2020,S
1000,51,S-P48,INACTIVE,11-08-2020,
1000,53,P5906,INACTIVE,20-08-2020,
1000,53,P7337,ACTIVE,12-08-2020,"M, T, W, Th, F, S"
1000,53,P-P12,INACTIVE,29-04-2020,
1000,53,P-P19,ACTIVE,11-08-2020,
1000,53,S-P12,ACTIVE,12-08-2020,
1000,53,S-P30,ACTIVE,11-08-2020,
1000,53,U-P71,ACTIVE,12-08-2020,
1000,61,D-P20,ACTIVE,12-08-2020,
1000,61,D-P74,ACTIVE,20-08-2020,T
1000,61,F-P44,INACTIVE,27-04-2020,
1000,61,F-P66,INACTIVE,27-04-2020,
1000,61,P-37,ACTIVE,18-08-2020,S
1000,61,P-P59,ACTIVE,12-08-2020,
1000,61,U-P17,ACTIVE,12-08-2020,F
1000,63,D-541,INACTIVE,27-04-2020,
1000,63,D-P41,ACTIVE,12-08-2020,
1000,63,P198,ACTIVE,11-08-2020,
1000,63,P2863,ACTIVE,12-08-2020,
1000,63,P7262,INACTIVE,29-04-2020,
1000,63,U-P16,INACTIVE,29-04-2020,
1000,63,U-P55,ACTIVE,14-08-2020,"M, T, W, Th, F, S"
1000,76,D2094,ACTIVE,12-08-2020,"T, Th"
1000,76,F-P17,INACTIVE,27-04-2020,
1000,76,P3987,ACTIVE,11-08-2020,
1000,76,P-P26,ACTIVE,12-08-2020,
1000,76,P-P59,ACTIVE,11-08-2020,
1000,76,U-P27,ACTIVE,12-08-2020,
1000,76,U-P68,ACTIVE,12-08-2020,W
1000,77,F-422,ACTIVE,14-08-2020,S
1000,77,F-P14,INACTIVE,29-04-2020,
1000,77,F-P64,INACTIVE,27-04-2020,
1000,77,P-P20,ACTIVE,11-08-2020,
1000,77,S-P58,INACTIVE,29-04-2020,
1000,77,U-P12,INACTIVE,29-04-2020,
1000,77,U-P15,INACTIVE,29-04-2020,
1000,91,D-024,ACTIVE,12-08-2020,"T, Th"
1000,91,D-302,INACTIVE,27-04-2020,
1000,91,D-P17,ACTIVE,12-08-2020,W
1000,91,D-P28,ACTIVE,12-08-2020,
1000,91,F-P58,ACTIVE,12-08-2020,F
1000,91,P1260,ACTIVE,11-08-2020,W
1000,91,P-P17,ACTIVE,12-08-2020,
1000,92,D-105,ACTIVE,12-08-2020,F
1000,92,D-P16,INACTIVE,29-04-2020,
1000,92,F-P11,INACTIVE,29-04-2020,
1000,92,P2857,ACTIVE,02-07-2020,"M, T, W, Th, F, S, Su"
1000,92,P-P04,INACTIVE,29-04-2020,
1000,92,P-P10,INACTIVE,29-04-2020,
1000,92,U-P91,ACTIVE,19-08-2020,"T, W, Th"
1000,99,D-P63,ACTIVE,13-08-2020,S
1000,99,F-P10,ACTIVE,12-08-2020,
1000,99,F-P31,ACTIVE,11-08-2020,
